heure,home,away,cote_1,cote_X,cote_2
4:00pm,Pilkington XXX,St Helens,Pilk,Draw,St H
4:00pm,Chadderton,Prestwich Heys,Chad,Draw,Pres
4:00pm,Worcester City,Halesowen Town,Worc,Draw,Hale
4:00pm,Gosport Borough,Havant & Waterlooville,Gosp,Draw,Hava
8:30pm,Horden CW,Easington Colliery,Hord,Draw,Easi
8:30pm,Whickham FC,Birtley Town,Whic,Draw,Birt
8:30pm,Crook Town AFC,Shildon AFC,Croo,Draw,Shil
8:30pm,Thornaby,West Auckland Town,Thor,Draw,West
8:30pm,Newcastle Benfield,West Allotment Celtic,Newc,Draw,West
8:30pm,Whitley Bay,North Shields FC,Whit,Draw,Nort
8:45pm,Guisborough Town,Northallerton Town,Guis,Draw,Nort
8:45pm,Marske United,Boro Rangers,Mars,Draw,Boro
8:45pm,Penrith AFC,Kendal Town,Penr,Draw,Kend
8:45pm,Carlisle City,Newcastle Blue Star,Carl,Draw,Newc
1:30pm,Coventry Sphinx,Rugby Borough,Cove,Draw,Rugb
2:00pm,St Neots Town,Bedworth United,1.95,3.30,3.30
4:00pm,Lichfield City,Coleshill Town,Lich,Draw,Cole
4:00pm,Long Eaton United,Belper Town,Long,Draw,Belp
4:00pm,Rugby Town,Mickleover Sports,Rugb,Draw,Mick
4:00pm,Boldmere St. Michaels,Sutton Coldfield Town,Bold,Draw,Sutt
4:00pm,Basford United,Carlton Town,Basf,Draw,Carl
4:00pm,Loughborough University FC,Shepshed Dynamo,2.45,3.35,2.50
4:00pm,AFC Rushden & Diamonds,Wellingborough Town,AFC ,Draw,Well
4:00pm,Bourne Town,Corby Town,Bour,Draw,Corb
2:00pm,Bradford Park Avenue,Pontefract Collieries,1.70,3.75,3.95
2:00pm,Silsden AFC,Brighouse Town,Sils,Draw,Brig
2:00pm,Redcar Athletic,Dunston UTS,Redc,Draw,Duns
2:00pm,Lincoln United,Grimsby Borough,Linc,Draw,Grim
2:00pm,Ashington AFC,Blyth Spartans,Ashi,Draw,Blyt
2:00pm,Garforth Town,AFC Emley,Garf,Draw,AFC 
2:00pm,Newton Aycliffe,Bishop Auckland,Newt,Draw,Bish
4:00pm,North Ferriby,Bridlington Town,Nort,Draw,Brid
4:00pm,Blyth Town,Hallam,Blyt,Draw,Hall
4:00pm,Ossett United,Matlock Town,Osse,Draw,Matl
4:00pm,Consett,Heaton Stannington,Cons,Draw,Heat
2:00pm,Kidsgrove Athletic,Newcastle Town,Kids,Draw,Newc
2:30pm,Vauxhall Motors,Lower Breck,Vaux,Draw,Lowe
4:00pm,Stafford Rangers,Chasetown,Staf,Draw,Chas
4:00pm,Shifnal Town FC,Congleton Town,Shif,Draw,Cong
4:00pm,Mossley,Stalybridge Celtic,2.75,3.75,2.10
4:00pm,Bootle,Runcorn Linnets,Boot,Draw,Runc
4:00pm,Trafford,Avro,Traf,Draw,Avro
4:00pm,Bury,Clitheroe,Bury,Draw,Clit
4:00pm,Atherton Collieries,Wythenshawe Town,Athe,Draw,Wyth
4:00pm,Sporting Khalsa,Darlaston Town,Spor,Draw,Darl
4:00pm,Witton Albion,Nantwich Town,Witt,Draw,Nant
1:30pm,Angola,Zimbabwe,1.72,3.75,4.90
4:00pm,Egypt,South Africa,1.75,3.60,4.80
6:30pm,Zambia,Comoros,1.83,3.65,4.30
9:00pm,Morocco,Mali,1.42,4.30,9.00
5:15pm,Modena,Monza,2.40,2.90,3.25
